field,value
started_utc,2026-08-12T21:03:03+00:00
finished_utc,2026-08-12T21:25:55+00:00
elapsed_seconds,1372
git_commit,14227209df4192eac1fce5de4c8fe00ca22f0f15
matrix_key,service_use
matrix,/Users/chrisreger/Documents/NAU/Grad/Research/ADSI/Monsoon - ASD3 ML Old/2016_2023_ServiceUse.csv
matrix_md5,f2a64b712a7d56f3898e94c48fbf0c65
outcome,foregone_care_strict
outcome_label,"Foregone care, with the specific unmet-need items removed"
folds,analyses/folds/service_foregone_care_folds.csv
folds_md5,befe73ef6eb8507d971a587a1c95c13c
folds_drawn_for,foregone_care
dropped_from_features,"k4q27=Yes, k4q22_r=Yes, k4q22_r=No, but this child needed to see a mental health professional, k4q24_r=Yes, k4q24_r=No, but this child needed to see a specialist"
n_features,289
rows,6088
positives,743
sizes,0
seed,1
n_splits,200
penalty,lasso
solver,liblinear
intercept_scaling,100
inner_cv,5
n_penalties,60
python,3.13.13
nsch-ml,2026.8.12.1
polars,1.43.2
numpy,2.4.6
scikit-learn,1.9.0
scipy,1.18.0
