field,value
started_utc,2026-08-25T11:26:04+00:00
finished_utc,2026-08-25T15:35:05+00:00
elapsed_seconds,13165
git_commit,0bdd93573070b14c68f4601bd05389b6e2c22240
matrix_key,fixture
matrix,/Users/chrisreger/Documents/NAU/Grad/Research/ADSI/reproduce-soak-nsch/data_Classif/NSCH_autism.csv
matrix_md5,8c1e5a82e75d9e74eaa94a2dbe6c8a36
outcome,ed_any_conservative
outcome_label,"ED use, one or more visits, care-seeking-process features removed"
folds,analyses/folds/fixture_ed_any_folds.csv
folds_md5,2bf517fa4b4c13bac86f9ad2fe930790
folds_drawn_for,ed_any
dropped_from_features,"Hospital_Emergency_Room_Visits_None, Hospital_Emergency_Room_Visits_1_time, Frustrated_In_Efforts_to_Get_Service_Never, Frustrated_In_Efforts_to_Get_Service_Sometimes, Frustrated_In_Efforts_to_Get_Service_Usually, Need_a_Referral_Yes, Health_Insurance___Benefits_Cover_Services_Always, Health_Insurance___Benefits_Cover_Services_Usually, Health_Insurance___Benefits_Cover_Services_Sometimes, Health_Insurance___Allow_to_See_Provider_Always, Health_Insurance___Allow_to_See_Provider_Usually, Health_Insurance___Allow_to_See_Provider_Sometimes, Health_Insurance___Cover_Mental_Behavioral_Needs_Always, Health_Insurance___Cover_Mental_Behavioral_Needs_Usually, Health_Insurance___Cover_Mental_Behavioral_Needs_Sometimes"
n_features,349
rows,46010
positives,6917
sizes,0
seed,1
n_splits,100
penalty,lasso
solver,liblinear
intercept_scaling,100
inner_cv,5
n_penalties,60
python,3.13.13
nsch-ml,2026.8.25
polars,1.43.2
numpy,2.4.6
scikit-learn,1.9.0
scipy,1.18.0
